Date,Price,Open,High,Low,Vol.,Change %
12/11/2025,"8,000","8,150","8,200","7,900",140.77M,-0.93%
12/10/2025,"8,075","8,100","8,175","8,025",143.42M,-0.31%
12/09/2025,"8,100","8,300","8,300","8,100",113.06M,-2.41%
12/08/2025,"8,300","8,350","8,350","8,250",61.75M,0.00%
12/05/2025,"8,300","8,200","8,300","8,200",71.16M,0.91%
12/04/2025,"8,225","8,325","8,350","8,225",71.41M,-0.90%
12/03/2025,"8,300","8,350","8,400","8,300",103.55M,-0.90%
12/02/2025,"8,375","8,350","8,425","8,350",97.04M,-0.30%
12/01/2025,"8,400","8,450","8,450","8,350",76.36M,1.51%
11/28/2025,"8,275","8,325","8,350","8,275",67.56M,-0.60%
11/27/2025,"8,325","8,425","8,450","8,325",71.05M,-1.19%
11/26/2025,"8,425","8,400","8,450","8,375",77.09M,-0.88%
11/25/2025,"8,500","8,475","8,500","8,375",98.81M,0.29%
11/24/2025,"8,475","8,400","8,475","8,350",279.59M,0.89%
11/21/2025,"8,400","8,375","8,425","8,350",103.92M,-0.30%
11/20/2025,"8,425","8,475","8,600","8,400",124.09M,-0.59%
11/19/2025,"8,475","8,350","8,500","8,325",114.21M,0.89%
11/18/2025,"8,400","8,550","8,575","8,400",119.38M,-2.04%
11/17/2025,"8,575","8,500","8,575","8,475",129.41M,1.78%
11/14/2025,"8,425","8,375","8,500","8,375",89.82M,0.60%
11/13/2025,"8,375","8,400","8,475","8,375",104.11M,-1.47%
11/12/2025,"8,500","8,425","8,550","8,400",85.42M,1.19%
11/11/2025,"8,400","8,575","8,600","8,400",130.90M,-2.04%
11/10/2025,"8,575","8,675","8,675","8,575",79.90M,-1.15%
11/07/2025,"8,675","8,550","8,675","8,550",75.24M,1.46%
11/06/2025,"8,550","8,625","8,675","8,550",89.76M,-1.72%
11/05/2025,"8,700","8,625","8,700","8,600",125.73M,0.58%
11/04/2025,"8,650","8,650","8,700","8,625",155.23M,0.00%
11/03/2025,"8,650","8,650","8,650","8,525",115.01M,1.47%
10/31/2025,"8,525","8,550","8,650","8,525",177.09M,0.00%
10/30/2025,"8,525","8,575","8,750","8,475",259.01M,-0.87%
10/29/2025,"8,600","8,300","8,600","8,275",239.16M,3.93%
10/28/2025,"8,275","8,350","8,400","8,250",180.27M,-0.90%
10/27/2025,"8,350","8,325","8,425","8,200",182.28M,0.91%
10/24/2025,"8,275","8,300","8,375","8,275",133.36M,-0.60%
10/23/2025,"8,325","8,200","8,350","8,150",187.00M,1.52%
10/22/2025,"8,200","8,700","8,700","8,200",392.96M,-3.24%
10/21/2025,"8,475","8,100","8,475","8,100",529.80M,7.62%
10/20/2025,"7,875","7,700","8,000","7,625",393.42M,5.00%
10/17/2025,"7,500","7,300","7,525","7,275",157.33M,2.74%
10/16/2025,"7,300","7,250","7,325","7,225",120.61M,0.69%
10/15/2025,"7,250","7,250","7,350","7,225",133.21M,0.00%
10/14/2025,"7,250","7,275","7,350","7,250",151.87M,-1.02%
10/13/2025,"7,325","7,300","7,375","7,300",101.85M,-1.01%
10/10/2025,"7,400","7,450","7,450","7,350",107.43M,-1.99%
10/09/2025,"7,550","7,375","7,700","7,300",293.57M,2.37%
10/08/2025,"7,375","7,500","7,525","7,375",168.08M,-2.64%
10/07/2025,"7,575","7,550","7,600","7,500",74.28M,1.00%
10/06/2025,"7,500","7,500","7,550","7,450",104.04M,-0.33%
10/03/2025,"7,525","7,525","7,550","7,500",76.79M,0.33%
10/02/2025,"7,500","7,500","7,600","7,500",126.95M,0.00%
10/01/2025,"7,500","7,600","7,675","7,500",202.43M,-1.64%
09/30/2025,"7,625","7,700","7,775","7,625",170.67M,-1.93%
09/29/2025,"7,775","7,750","7,800","7,700",116.45M,1.97%
09/26/2025,"7,625","7,575","7,700","7,575",121.66M,-0.97%
09/25/2025,"7,700","7,725","7,775","7,700",147.99M,-0.96%
09/24/2025,"7,775","7,950","7,950","7,725",150.43M,-1.27%
09/23/2025,"7,875","7,750","7,900","7,750",102.61M,1.94%
09/22/2025,"7,725","7,800","7,825","7,725",92.59M,-0.96%
09/19/2025,"7,800","7,650","7,825","7,650",149.03M,1.30%
09/18/2025,"7,700","7,850","7,900","7,650",275.38M,-1.91%
09/17/2025,"7,850","7,850","7,900","7,800",183.73M,-0.95%
09/16/2025,"7,925","8,050","8,075","7,900",129.31M,-1.25%
09/15/2025,"8,025","8,000","8,100","7,975",142.57M,1.26%
09/12/2025,"7,925","7,975","7,975","7,850",156.08M,0.96%
09/11/2025,"7,850","7,900","7,975","7,850",235.17M,0.64%
09/10/2025,"7,800","7,550","7,800","7,550",246.85M,3.65%
09/09/2025,"7,525","7,625","7,725","7,475",595.37M,-2.27%
09/08/2025,"7,700","8,025","8,025","7,700",321.19M,-3.75%
09/04/2025,"8,000","7,975","8,000","7,925",103.53M,0.31%
09/03/2025,"7,975","7,900","8,000","7,900",212.37M,-0.31%
09/02/2025,"8,000","8,000","8,175","8,000",155.53M,0.00%
09/01/2025,"8,000","7,650","8,050","7,600",421.13M,-0.93%
08/29/2025,"8,075","8,250","8,275","8,075",236.50M,-3.00%
08/28/2025,"8,325","8,350","8,375","8,275",81.28M,0.30%
08/27/2025,"8,300","8,250","8,350","8,200",111.92M,0.61%
08/26/2025,"8,250","8,450","8,475","8,250",326.79M,-2.65%
08/25/2025,"8,475","8,525","8,550","8,475",64.05M,0.30%
08/22/2025,"8,450","8,575","8,575","8,450",66.39M,-1.17%
08/21/2025,"8,550","8,550","8,575","8,500",69.47M,0.29%
08/20/2025,"8,525","8,375","8,600","8,350",202.26M,0.29%
08/19/2025,"8,500","8,600","8,600","8,450",128.59M,-2.30%
08/15/2025,"8,700","8,825","8,850","8,700",68.75M,-0.85%
08/14/2025,"8,775","8,925","8,950","8,750",122.93M,-1.68%
08/13/2025,"8,925","8,975","8,975","8,725",129.08M,0.85%
08/12/2025,"8,850","8,625","8,875","8,575",171.02M,3.51%
08/11/2025,"8,550","8,500","8,550","8,425",128.56M,3.01%
08/08/2025,"8,300","8,325","8,400","8,300",68.38M,0.00%
08/07/2025,"8,300","8,325","8,350","8,300",43.62M,0.00%
08/06/2025,"8,300","8,425","8,425","8,300",56.33M,-1.48%
08/05/2025,"8,425","8,350","8,450","8,325",69.48M,1.81%
08/04/2025,"8,275","8,325","8,350","8,275",49.05M,-0.30%
08/01/2025,"8,300","8,400","8,425","8,300",86.20M,0.30%
07/31/2025,"8,275","8,350","8,375","8,250",206.01M,-1.19%
07/30/2025,"8,375","8,475","8,475","8,325",98.10M,-0.30%
07/29/2025,"8,400","8,500","8,500","8,375",104.24M,-1.18%
07/28/2025,"8,500","8,625","8,625","8,475",99.48M,0.59%
07/25/2025,"8,450","8,500","8,525","8,450",58.68M,-0.59%
07/24/2025,"8,500","8,475","8,550","8,450",138.26M,0.89%
07/23/2025,"8,425","8,450","8,500","8,400",70.97M,0.30%
07/22/2025,"8,400","8,450","8,475","8,400",77.98M,-0.59%
07/21/2025,"8,450","8,450","8,500","8,375",95.38M,0.30%
07/18/2025,"8,425","8,550","8,575","8,425",80.43M,-1.17%
07/17/2025,"8,525","8,500","8,550","8,500",86.02M,0.00%
07/16/2025,"8,525","8,550","8,600","8,500",97.48M,-0.29%
07/15/2025,"8,550","8,600","8,600","8,475",77.22M,0.29%
07/14/2025,"8,525","8,650","8,675","8,450",125.20M,-1.16%
07/11/2025,"8,625","8,575","8,675","8,575",135.99M,0.29%
07/10/2025,"8,600","8,525","8,650","8,500",111.77M,1.18%
07/09/2025,"8,500","8,500","8,550","8,450",94.46M,0.00%
07/08/2025,"8,500","8,550","8,600","8,425",215.61M,-1.45%
07/07/2025,"8,625","8,625","8,650","8,550",49.94M,-0.29%
