Date,Price,Open,High,Low,Vol.,Change %
12/11/2025,"4,950","5,000","5,050","4,830",151.96M,-0.40%
12/10/2025,"4,970","4,950","4,970","4,870",96.01M,1.64%
12/09/2025,"4,890","4,970","4,980","4,870",134.58M,-1.21%
12/08/2025,"4,950","4,950","4,960","4,910",62.95M,1.02%
12/05/2025,"4,900","4,940","4,940","4,870",53.97M,-0.41%
12/04/2025,"4,920","4,930","4,940","4,880",59.39M,0.82%
12/03/2025,"4,880","4,850","4,920","4,820",102.56M,0.62%
12/02/2025,"4,850","4,920","4,940","4,820",104.01M,-0.21%
12/01/2025,"4,860","4,850","4,910","4,820",58.60M,0.62%
11/28/2025,"4,830","4,800","4,880","4,800",128.78M,-0.62%
11/27/2025,"4,860","5,025","5,025","4,850",170.21M,-3.28%
11/26/2025,"5,025","5,025","5,025","4,960",128.49M,0.00%
11/25/2025,"5,025","5,075","5,100","4,950",169.38M,-1.47%
11/24/2025,"5,100","4,910","5,100","4,870",303.25M,3.03%
11/21/2025,"4,950","4,940","4,970","4,900",142.45M,0.20%
11/20/2025,"4,940","4,940","4,990","4,900",234.72M,1.86%
11/19/2025,"4,850","4,820","4,850","4,800",107.59M,1.25%
11/18/2025,"4,790","4,810","4,850","4,780",127.02M,-0.62%
11/17/2025,"4,820","4,780","4,850","4,770",136.48M,1.47%
11/14/2025,"4,750","4,690","4,750","4,680",73.48M,1.06%
11/13/2025,"4,700","4,760","4,760","4,690",108.10M,-1.26%
11/12/2025,"4,760","4,680","4,790","4,680",138.54M,1.71%
11/11/2025,"4,680","4,740","4,750","4,610",168.79M,-1.06%
11/10/2025,"4,730","4,790","4,790","4,730",88.74M,-0.42%
11/07/2025,"4,750","4,750","4,780","4,740",58.85M,0.00%
11/06/2025,"4,750","4,790","4,790","4,750",57.93M,-0.42%
11/05/2025,"4,770","4,690","4,770","4,680",102.88M,0.85%
11/04/2025,"4,730","4,760","4,790","4,720",136.41M,-0.63%
11/03/2025,"4,760","4,710","4,760","4,700",129.83M,0.85%
10/31/2025,"4,720","4,790","4,800","4,720",227.38M,-1.67%
10/30/2025,"4,800","4,670","4,830","4,650",390.26M,3.23%
10/29/2025,"4,650","4,500","4,650","4,490",176.98M,3.10%
10/28/2025,"4,510","4,490","4,510","4,440",174.67M,0.89%
10/27/2025,"4,470","4,590","4,600","4,410",245.58M,-1.76%
10/24/2025,"4,550","4,380","4,590","4,380",350.42M,2.71%
10/23/2025,"4,430","4,310","4,440","4,310",202.10M,2.31%
10/22/2025,"4,330","4,350","4,460","4,290",216.26M,-0.46%
10/21/2025,"4,350","4,350","4,390","4,300",230.86M,1.16%
10/20/2025,"4,300","4,120","4,320","4,070",331.94M,6.17%
10/17/2025,"4,050","4,110","4,110","4,030",247.51M,-0.98%
10/16/2025,"4,090","4,050","4,150","4,050",125.98M,0.99%
10/15/2025,"4,050","4,110","4,140","4,010",270.56M,-0.98%
10/14/2025,"4,090","4,220","4,270","4,090",188.52M,-3.31%
10/13/2025,"4,230","4,210","4,240","4,200",79.18M,-0.47%
10/10/2025,"4,250","4,410","4,420","4,250",139.91M,-3.19%
10/09/2025,"4,390","4,240","4,450","4,200",183.24M,3.29%
10/08/2025,"4,250","4,280","4,290","4,210",97.47M,-0.93%
10/07/2025,"4,290","4,260","4,320","4,250",100.24M,0.70%
10/06/2025,"4,260","4,320","4,330","4,260",96.04M,-1.16%
10/03/2025,"4,310","4,370","4,380","4,300",102.46M,-1.15%
10/02/2025,"4,360","4,410","4,440","4,360",93.39M,-0.46%
10/01/2025,"4,380","4,360","4,400","4,350",92.27M,-0.45%
09/30/2025,"4,400","4,420","4,450","4,380",108.64M,0.00%
09/29/2025,"4,400","4,420","4,430","4,400",63.75M,-0.45%
09/26/2025,"4,420","4,350","4,430","4,350",86.57M,1.38%
09/25/2025,"4,360","4,400","4,410","4,360",73.95M,-0.68%
09/24/2025,"4,390","4,410","4,430","4,390",85.44M,-0.45%
09/23/2025,"4,410","4,390","4,430","4,370",90.68M,-0.23%
09/22/2025,"4,420","4,410","4,420","4,360",107.18M,0.91%
09/19/2025,"4,380","4,350","4,420","4,330",235.98M,-0.90%
09/18/2025,"4,420","4,540","4,550","4,420",177.56M,-2.00%
09/17/2025,"4,510","4,480","4,520","4,440",232.70M,0.67%
09/16/2025,"4,480","4,570","4,570","4,460",122.03M,-1.10%
09/15/2025,"4,530","4,550","4,640","4,520",231.35M,0.22%
09/12/2025,"4,520","4,500","4,550","4,480",216.96M,0.89%
09/11/2025,"4,480","4,480","4,540","4,450",366.70M,1.82%
09/10/2025,"4,400","4,360","4,420","4,350",293.49M,2.09%
09/09/2025,"4,310","4,450","4,480","4,310",509.37M,-4.01%
09/08/2025,"4,490","4,750","4,750","4,460",200.23M,-4.06%
09/04/2025,"4,680","4,630","4,680","4,620",88.74M,1.30%
09/03/2025,"4,620","4,620","4,660","4,570",131.62M,1.09%
09/02/2025,"4,570","4,610","4,670","4,560",150.05M,-0.65%
09/01/2025,"4,600","4,550","4,670","4,460",320.34M,-2.75%
08/29/2025,"4,730","4,720","4,750","4,660",176.49M,-0.84%
08/28/2025,"4,770","4,790","4,850","4,770",111.71M,-0.63%
08/27/2025,"4,800","4,840","4,880","4,800",113.58M,-2.04%
08/26/2025,"4,900","4,950","4,950","4,860",308.89M,-1.01%
08/25/2025,"4,950","4,950","4,980","4,920",149.58M,1.23%
08/22/2025,"4,890","4,920","4,920","4,870",73.10M,-0.20%
08/21/2025,"4,900","4,950","4,950","4,860",132.02M,-1.01%
08/20/2025,"4,950","4,790","4,950","4,780",144.62M,3.13%
08/19/2025,"4,800","4,860","4,870","4,780",116.45M,-1.03%
08/15/2025,"4,850","4,890","4,930","4,850",126.69M,0.00%
08/14/2025,"4,850","4,910","4,930","4,840",109.46M,-0.41%
08/13/2025,"4,870","4,930","4,970","4,860",180.84M,-0.81%
08/12/2025,"4,910","4,770","4,920","4,750",301.60M,4.03%
08/11/2025,"4,720","4,710","4,780","4,700",105.20M,1.07%
08/08/2025,"4,670","4,680","4,700","4,660",71.52M,-0.21%
08/07/2025,"4,680","4,740","4,740","4,680",61.45M,-0.43%
08/06/2025,"4,700","4,750","4,750","4,690",79.28M,-1.05%
08/05/2025,"4,750","4,690","4,780","4,660",277.67M,2.81%
08/04/2025,"4,620","4,530","4,630","4,510",174.40M,1.99%
08/01/2025,"4,530","4,570","4,610","4,510",157.95M,0.44%
07/31/2025,"4,510","4,610","4,640","4,510",155.90M,-2.38%
07/30/2025,"4,620","4,710","4,720","4,620",141.26M,-1.91%
07/29/2025,"4,710","4,700","4,720","4,690",74.42M,0.21%
07/28/2025,"4,700","4,730","4,750","4,690",112.05M,0.21%
07/25/2025,"4,690","4,800","4,800","4,690",88.47M,-2.29%
07/24/2025,"4,800","4,690","4,840","4,680",273.62M,2.56%
07/23/2025,"4,680","4,660","4,690","4,660",115.30M,0.43%
07/22/2025,"4,660","4,680","4,710","4,650",132.98M,-0.43%
07/21/2025,"4,680","4,770","4,770","4,680",103.39M,-1.27%
07/18/2025,"4,740","4,760","4,810","4,720",161.26M,0.42%
07/17/2025,"4,720","4,700","4,720","4,680",120.30M,0.64%
07/16/2025,"4,690","4,730","4,760","4,680",323.83M,-0.21%
07/15/2025,"4,700","4,700","4,740","4,690",206.96M,0.21%
07/14/2025,"4,690","4,980","4,990","4,670",429.44M,-5.63%
07/11/2025,"4,970","4,850","4,990","4,830",219.98M,3.11%
07/10/2025,"4,820","4,750","4,830","4,730",160.89M,2.34%
07/09/2025,"4,710","4,720","4,760","4,670",110.20M,-0.21%
07/08/2025,"4,720","4,710","4,750","4,700",132.85M,-0.42%
07/07/2025,"4,740","4,740","4,750","4,680",120.54M,0.00%
07/04/2025,"4,740","4,750","4,790","4,700",104.17M,0.00%
07/03/2025,"4,740","4,780","4,850","4,720",103.85M,-0.63%
07/02/2025,"4,770","4,730","4,770","4,710",159.15M,0.42%
07/01/2025,"4,750","4,900","4,910","4,710",319.91M,-2.66%
06/30/2025,"4,880","5,050","5,050","4,880",220.48M,-2.89%
06/26/2025,"5,025","4,950","5,025","4,910",94.70M,2.97%
06/25/2025,"4,880","5,025","5,050","4,880",139.96M,-2.89%
06/24/2025,"5,025","5,050","5,125","5,025",126.56M,2.13%
